Sample	Coverage	FNR_Value	Hausdorff_Distance	Frechet_Distance	SSE	SSE_log10	Distance_Scale
gr_wolf.spain.SAMN04851099	4.0	0.74	307495710.00683755	326032551.6482908	37700018662.74222	3.2225965831183534	psmc
gr_wolf.spain.SAMN04851099	4.0	0.75	289202407.3333333	306566609.31666684	30399220601.44676	2.405703893032744	psmc
gr_wolf.spain.SAMN04851099	4.0	0.76	268795242.7703701	290260195.8648149	27072759285.325752	2.292153511289822	psmc
gr_wolf.spain.SAMN04851099	4.0	0.77	246613542.158454	271815212.1611111	20117318357.71845	1.4790829046348932	psmc
gr_wolf.spain.SAMN04851099	4.0	0.78	222415323.30909073	247230398.62575758	17637174407.257355	1.4140580415822142	psmc
gr_wolf.spain.SAMN04851099	4.0	0.79	195912512.18835962	224145359.88597882	11407566250.258213	0.6081685731098377	psmc
gr_wolf.spain.SAMN04851099	4.0	0.8	197407555.30555594	197407555.30555594	10909450258.111382	0.6231506540461468	psmc
gr_wolf.spain.SAMN04851099	4.0	0.81	255329431.82017577	255329431.82017577	16380829717.655998	1.1880660619701224	psmc
gr_wolf.spain.SAMN04851099	4.0	0.82	319687072.3919748	319687072.3919748	24024779332.034233	1.7628807436594198	psmc
gr_wolf.spain.SAMN04851099	4.0	0.83	391616200.0898689	391616200.0898689	30607067455.200405	1.9269640711240208	psmc
gr_wolf.spain.SAMN04851099	4.0	0.84	472536468.7499999	472536468.7499999	45643235460.14905	2.5724564003235124	psmc
gr_wolf.spain.SAMN04851099	4.0	0.85	564246106.5648149	564246106.5648149	66787826824.877686	3.2679366968457972	psmc
gr_wolf.spain.SAMN04851099	4.0	0.86	669057121.2103173	669057121.2103173	93328786739.77782	3.9947019479802117	psmc
gr_wolf.spain.SAMN04851099	4.0	0.87	789992907.3397435	789992907.3397435	128396979044.69078	4.778301829994739	psmc
gr_wolf.spain.SAMN04851099	4.0	0.88	931084657.8240746	931084657.8240746	182653375498.81824	5.516135058270056	psmc
